DocID,LineNum,LineText,HeadingType
67792,15,Cultural Heritage Clearance,None
67792,18,Drilling,None
67792,21,Geochemical Sampling,None
67792,24,CONCLUSIONS,None
67792,26,List of Figures,None
67792,27,Page,None
67792,28,Figure ,None
67792,29,Tenement Location Map,None
67792,31,Figure ,None
67792,32,Drill Hole Location Map,None
67792,34,Figure ,None
67792,35,Geophysical Modelling of Beenfield Target,None
67792,37,List of Tables,None
67792,38,Page,None
67792,39,Table ,None
67792,40,Tenement Details,None
67792,42,Table ,None
67792,43,Drill Hole Details,None
67792,45,List of Appendices,None
67792,46,Appendix ,None
67792,47,Drill Hole Details and Geology Logs,None
67792,48,Appendix ,None
67792,49,Drill Hole Geochemical Assay Data,None
68861,0,TABLE OF CONTENTS,None
68861,1,Page,None
68861,3,INTRODUCTION,Intro
68861,6,TENURE,None
68861,9,GEOLOGY,None
68861,12,EXPLORATION WORK COMPLETED,Work
68861,15,CONCLUSIONS,None
68861,17,List of Figures,None
68861,18,Figure ,None
68861,19,Location Map,None
68861,21,List of Tables,None
68861,22,Page,None
68861,23,Table ,None
68861,24,Tenement Details,None
74718,0,TABLE OF CONTENTS,None
74718,1, INTRODUCTION,Intro
74718,3, TENURE,None
74718,5, GEOLOGY,None
74718,7, EXPLORATION WORK COMPLETED,Work
74718,9,Summary of Work Completed,Summ
74718,11, GEOPHYSICS,None
74718,13, Airborne MagneticRadiometric Surveys,None
74718,15,  Hz GEOTEM Survey,None
74718,17, Ground Magnetic Surveys,None
74718,19, Gravity Surveys,None
74718,21, Drilling,None
74718,23, CONCLUSIONS,None
74718,25,List of Figures,None
74718,26,Figure  Subblocks relinquished for EPM ,None
74718,28,Figure  Geophyiscal surveys for relinquished subblocks,None
74718,30,List of Tables,None
74718,31,Table  Tenement Details,None
74718,33,Table  Sub blocks to be relinquished  in total,None
74718,35,Table  Lithostratigraphic and geophysical comparison between the Soldiers Cap group and,None
74718,36,Fullarton River Group,None
74718,38,Table  Summary of Gravity Surveys,None
74718,40,Table  Drill hole details for all drilling conducted on the relinquished subblocks EPM ,None
74718,41,List of Appendices,None
74718,42,Appendix A Geochemical Results,None
74718,43,Appendix B Geological Logs,None
