original,transformed,tag
"Lightning Creek/Buster Creek Joint Venture 	March 1997",word word word word word word tab month bigNum ,0
"GEOCHEMPET SERVICES, MALENY",word word word ,0
BMA,word ,0
"Lightning Creek/Buster Creek Venture 	4 	March 1997",word word word word word tab smallNum tab month bigNum ,1
"EPM 10732 - Partial Relinquishment Report 	October 1999",word bigNum word word word tab month bigNum ,0
"Police Creek Annual Report 	June 1997",word word word word tab month bigNum ,0
BMA,word ,0
"EPMs 7668 and 7669 Alexandra 	2 	December 1997",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"EPM 10732 - Partial Relinquishment Repor 	October 1999",word bigNum word word word tab month bigNum ,0
BMA,word ,0
BMA,word ,0
BMA,word ,0
"EPM 10732 - Partial Relinquishment Report 	October 1999",word bigNum word word word tab month bigNum ,0
"Cockenzie Project, Australia 	4/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	42/54",word word word tab smallNum smallNum ,1
"CR 10157 - EPM 7786 Longford 	March 2001",word bigNum word bigNum word tab month bigNum ,0
BMA,word ,0
"Cockenzie Project, Australia 	35/54",word word word tab smallNum smallNum ,1
"Lightning Creek/Buster Creek Venture 	2 	March 1997",word word word word word tab smallNum tab month bigNum ,1
BMA,word ,0
"Cockenzie Project, Australia 	8/54",word word word tab smallNum smallNum ,1
BMA,word ,0
"Cockenzie Project, Australia 	9/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	24/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	25/54",word word word tab smallNum smallNum ,1
"EPM 9216 	1 	February 1995",word bigNum tab smallNum tab month bigNum ,1
"Cockenzie Project, Australia 	50/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	32/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	46/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	48/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	31/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	43/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	51/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	52/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	36/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	22/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	29/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	47/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	44/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	26/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	18/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	27/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	33/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	34/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	13/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	23/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	19/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	38/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	20/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	30/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	16/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	10/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	39/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	49/54",word word word tab smallNum smallNum ,1
"EPM 9216 	2 	February 1995",word bigNum tab smallNum tab month bigNum ,1
"Cockenzie Project, Australia 	14/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	17/54",word word word tab smallNum smallNum ,1
BMA,word ,0
"Cockenzie Project, Australia 	15/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	41/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	40/54",word word word tab smallNum smallNum ,1
"Cockenzie Project, Australia 	45/54",word word word tab smallNum smallNum ,1
"Lightning Creek/Buster Creek Joint Venture 	March 1997",word word word word word word tab month bigNum ,0
"CR 10157 - EPM 7786 Longford 	March 2001",word bigNum word bigNum word tab month bigNum ,0
"EPM 10732 - Partial Relinquishment Report 	3 	October 1999",word bigNum word word word tab smallNum tab month bigNum ,1
"EPM 10732 - Partial Relinquishment Report 	2 	October 1999",word bigNum word word word tab smallNum tab month bigNum ,1
"EPMs 8662, 8688, 8734 	15 February 1996",word bigNum bigNum bigNum tab smallNum month bigNum ,1
"EPMs 8913, 10435 Sandy Creek JV 	November 1997",word bigNum bigNum word word word tab month bigNum ,0
"EPM 9216 	February 1995",word bigNum tab month bigNum ,0
"CR 10157 - EPM 7786 Longford 	March 2001",word bigNum word bigNum word tab month bigNum ,0
"Lightning Creek/Buster Creek Joint Venture 	March 1997",word word word word word word tab month bigNum ,0
"EPMs 7668 and 7669 Alexandra and Coolullah 	December 1997",word bigNum word bigNum word word word tab month bigNum ,0
"Lightning Creek/Buster Creek Venture 	3 	March 1997",word word word word word tab smallNum tab month bigNum ,1
"EPM 9216 	February 1995",word bigNum tab month bigNum ,0
"EPM 10732 - Partial Relinquishment Report 	October 1999",word bigNum word word word tab month bigNum ,0
"Wilgunya EPM 13282 	Drill Hole Magnetics 	Appendix",word word bigNum tab word word word tab word ,0
"EPM 9216 	3 	February 1995",word bigNum tab smallNum tab month bigNum ,1
"Lightning Creek/Buster Creek Venture 	} 	March 1997",word word word word word tab tab month bigNum ,0
"CR 10157 - EPM 7786 Longford 	March 2001",word bigNum word bigNum word tab month bigNum ,0
"EPM 7777 - TALAWANTA 	MARCH 1992",word bigNum word tab month bigNum ,0
"CR 10157 - EPM 7786 Longford 	4 	March 2001",word bigNum word bigNum word tab smallNum tab month bigNum ,1
"Wilgunya EPM 13282 	Drill Hole Locations 	Appendix",word word bigNum tab word word word tab word ,0
"Police Creek Annual Report 	6",word word word word tab smallNum ,1
BHP Billiton Mitsubishi Alliance,word word word word ,0
BHP PBilliton Mitsubishi Alliance,word word word word ,0
BHP Billiton Mitsubish Alliance,word word word word ,0
BHP PBilliton Mitsubishi Alliance,word word word word ,0
PBillitor Mitsubish Alliance,word word word ,0
HPBilliton Mitsubish Alliance,word word word ,0
BHP Billiton Mitsubishi Alliance,word word word word ,0
Billitor Mitsubish Alliance,word word word ,0
BHP Billiton Mitsubish Alliance,word word word word ,0
BHP Billiton Mitsubishi Alliance,word word word word ,0
BHP PBilliton Mitsubishi Alliance,word word word word ,0
BHPBilliton Mitsubish Alliance,word word word ,0
BHP Billiton Mitsubish Alliance,word word word word ,0
"EPM 9750 	January 1995",word bigNum tab month bigNum ,0
"EPM 9750 	4 	January 1995",word bigNum tab smallNum tab month bigNum ,1
"EPM 9750 	2 	January 1995",word bigNum tab smallNum tab month bigNum ,1
"EPM 9750 	3 	January 1995",word bigNum tab smallNum tab month bigNum ,1
"EPM 9750 	January 1995",word bigNum tab month bigNum ,0
"EPM 9750 	January 1995",word bigNum tab month bigNum ,0
BMA,word ,0
Bm090401t.doc,mix word ,0
